"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn & 1 giường sofa";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn & 1 giường sofa";"1 giường đôi lớn & 1 giường đôi lớn & 1 giường sofa";"1 giường đôi lớn & 2 giường đơn và 1 giường sofa";"1 phòng tắm";"2 giường lớn";"2 giường đôi lớn";"2 giường đôi lớn & 2 giường đôi lớn";"2 giường đơn";"2 giường đơn & 1 giường đôi lớn";"2 phòng ngủ";"2 phòng tắm";"3 giường đơn";"Ban công/sân hiên";"Bồn tắm";"Bồn tắm/vòi sen riêng";"Cửa sổ";"Cửa sổ mở";"Diện tích phòng: 12 m²";"Diện tích phòng: 15 m²";"Diện tích phòng: 25 m²";"Diện tích phòng: 28 m²";"Diện tích phòng: 30 m²";"Diện tích phòng: 35 m²";"Diện tích phòng: 36 m²";"Diện tích phòng: 40 m²";"Diện tích phòng: 46 m²";"Diện tích phòng: 70 m²";"Diện tích phòng: 92 m²";"Giường cực dài";"Hành lang ngoài";"Hướng Ngoài trời";"Hướng Thành phố";"Hướng Vườn";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Truy cập Internet - không dây";"Trái cây/đồ ăn vặt";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"phòng tắm riêng";"tầng cao";"tầng trệt";"Điều hòa";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước điện"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Căn hộ 2 phòng ngủ (2-Bedroom Apartment)";"Thông tin sức chứa phòng: 4 người lớn và 2 trẻ em.";"3.077.941
₫";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"63995759";"Khách sạn ADAMO Hưng Yên (ADAMO HOTEL HUNG YEN)";"DT200 TT V ng xuyến, ng 5, Y n Mỹ, Hưng Y n 160000, Hưng Yên, Hưng Yên, Việt Nam, 560000";"Căn hộ 2 phòng ngủ (2-Bedroom Apartment)";"Thông tin sức chứa phòng: 4 người lớn và 2 trẻ em.";"3.108.720
₫";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"25019485";"White Palace 2";"34 Doc Nhuong st., Tran Hung Dao Ward, Hung Yen Province, Thái Bình, Thái Bình, Việt Nam, 410000";"Phòng Superior (Superior)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"329.055
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0"
"25019485";"White Palace 2";"34 Doc Nhuong st., Tran Hung Dao Ward, Hung Yen Province, Thái Bình, Thái Bình, Việt Nam, 410000";"Phòng Superior (Superior)";"Thông tin sức chứa phòng: 2 người lớn.";"490.741
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0"
"25019485";"White Palace 2";"34 Doc Nhuong st., Tran Hung Dao Ward, Hung Yen Province, Thái Bình, Thái Bình, Việt Nam, 410000";"Deluxe 2 giường (Deluxe Twin)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"374.059
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0"
"25019485";"White Palace 2";"34 Doc Nhuong st., Tran Hung Dao Ward, Hung Yen Province, Thái Bình, Thái Bình, Việt Nam, 410000";"Deluxe 2 giường (Deluxe Twin)";"Thông tin sức chứa phòng: 2 người lớn.";"564.815
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0"
"63746671";"Khách sạn Bảo An Hưng Yên (Bao An Hotel Hung Yen)";"New Urban Area, Van Giang, Hung Yen, Hưng Yên, Hưng Yên, Việt Nam";"Super giường King (Super King)";"Thông tin sức chứa phòng: 2 người lớn.";"740.741
₫";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"63746671";"Khách sạn Bảo An Hưng Yên (Bao An Hotel Hung Yen)";"New Urban Area, Van Giang, Hung Yen, Hưng Yên, Hưng Yên, Việt Nam";"Super giường King (Super King)";"Thông tin sức chứa phòng: 2 người lớn.";"814.815
₫";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"63746671";"Khách sạn Bảo An Hưng Yên (Bao An Hotel Hung Yen)";"New Urban Area, Van Giang, Hung Yen, Hưng Yên, Hưng Yên, Việt Nam";"Super giường King (Super King)";"Thông tin sức chứa phòng: 1 người lớn.";"666.667
₫";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"63746671";"Khách sạn Bảo An Hưng Yên (Bao An Hotel Hung Yen)";"New Urban Area, Van Giang, Hung Yen, Hưng Yên, Hưng Yên, Việt Nam";"Phòng Tiêu Chuẩn (Standard)";"Thông tin sức chứa phòng: 2 người lớn.";"787.037
₫";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1"
