"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường đôi";"1 giường tầng";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi và 1 giường lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 nệm futon";"1 phòng tắm";"14 m²";"15 m²";"16 m²";"2 giường đôi lớn";"2 giường đơn";"2 phòng ngủ";"20 m²";"24 m²";"25 m²";"28 m²";"30 m²";"33 m²";"35 m²";"64 m²";"70 m²";"Ban công/sân hiên";"Bồn tắm";"Cà phê hòa tan miễn phí";"Cửa sổ";"Giường cực dài";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Thiên nhiên";"Hướng Thành phố";"Hướng Vườn";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Quạt";"Rèm che ánh sáng";"Studio/1 phòng ngủ";"Tối đa 1 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (1-11 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng trệt";"Điều hòa";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"55811320";"Ánh Dương Motel (Anh Duong Motel)";"ÄT750, Bến Cát, Bình Dương, Việt Nam";"Giường Trong Phòng Ngủ Tập Thể Cho Cả Nam Và Nữ 6 Giường (Bed in 6-Bed Mixed Dormitory Room)";"1 người lớn Vượt quá sức chứa phòng";"94.302";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0"
"55811320";"Ánh Dương Motel (Anh Duong Motel)";"ÄT750, Bến Cát, Bình Dương, Việt Nam";"Giường Trong Phòng Ngủ Tập Thể Cho Cả Nam Và Nữ 6 Giường (Bed in 6-Bed Mixed Dormitory Room)";"1 người lớn Vượt quá sức chứa phòng";"104.779";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0"
"37038854";"Nhà Ông Chú (Nha Ong Chu)";"Lê Trọng Tấn, Phước Long, Phước Long (Bình Phước), Việt Nam";"Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment)";"2 người lớn";"363.327";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"37038854";"Nhà Ông Chú (Nha Ong Chu)";"Lê Trọng Tấn, Phước Long, Phước Long (Bình Phước), Việt Nam";"Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment)";"4 người lớn";"542.279";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"34165157";"Căn hộ 20 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (Hùng Oanh Hotel - Room with 2 Double Beds)";"Đồng Xoài, Dồng Xoài, Việt Nam";"Căn hộ (Apartment)";"4 người lớn & 1 trẻ em (0-7 tuổi)";"686.415";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"46886295";"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (May House - Căn hộ dịch vụ)";"Đồng Xoài, Dồng Xoài, Việt Nam";"Căn hộ (Apartment)";"2 người lớn & 1 trẻ em (0-7 tuổi)";"483.177";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"6748373";"An Loc Hotel & Spa";"National Highway 13, Hung Chien Ward, Bình Long, Bình Long (Bình Phước), Việt Nam";"Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room)";"2 người lớn";"674.603";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"6748373";"An Loc Hotel & Spa";"National Highway 13, Hung Chien Ward, Bình Long, Bình Long (Bình Phước), Việt Nam";"Phòng Đôi Cao Cấp (Superior Double Room)";"2 người lớn";"855.379";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"73348841";"Vivu24h Hồ Dầu Tiếng";"Vivu24h- Hồ Dầu Tiếng https://maps.app.goo.gl/r5qvMRNW5YDqbLbW8, Thạnh Tân, Tây Ninh, Việt Nam, 75806";"Phòng Đôi (Double Room)";"2 người lớn";"876.601";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"73348841";"Vivu24h Hồ Dầu Tiếng";"Vivu24h- Hồ Dầu Tiếng https://maps.app.goo.gl/r5qvMRNW5YDqbLbW8, Thạnh Tân, Tây Ninh, Việt Nam, 75806";"Phòng Đôi (Double Room)";"1 người lớn Vượt quá sức chứa phòng";"805.939";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"73348841";"Vivu24h Hồ Dầu Tiếng";"Vivu24h- Hồ Dầu Tiếng https://maps.app.goo.gl/r5qvMRNW5YDqbLbW8, Thạnh Tân, Tây Ninh, Việt Nam, 75806";"Lều (Tent)";"2 người lớn";"1.081.802";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"46991867";"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (May House - Căn hộ dịch vụ)";"Đồng Xoài, Dồng Xoài, Việt Nam";"Căn hộ (Apartment)";"2 người lớn & 1 trẻ em (0-7 tuổi)";"491.003";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"59871386";"Nhà Nghỉ KV (Nha Nghi KV)";"Đồng Xoài, Dồng Xoài, Việt Nam";"Phòng Đôi (Double Room)";"2 người lớn";"185.185";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
