room_type_id,price_option_price,adults_number,children_number,bãi_đậu_xe,phòng_tập,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,vào_hồ_bơi_miễn_phí,đã_kèm_bữa_sáng
191,472016.0,2,1,1,0,1,0,1,0,0
191,474999.0,2,0,1,0,1,1,0,0,0
191,527777.0,2,0,1,0,1,0,1,0,0
192,625777.0,4,1,1,0,1,0,1,0,0
193,711000.0,2,0,1,0,1,0,1,0,0
194,972000.0,2,0,1,0,1,0,1,0,0
195,1030500.0,2,0,1,0,1,0,1,0,0
196,1159200.0,3,0,1,0,1,0,1,0,0
197,500370.0,2,0,1,0,1,0,1,0,0
198,625463.0,2,0,1,0,1,0,1,0,0
199,750556.0,4,0,1,0,1,0,1,0,0
200,292871.0,2,0,1,0,1,0,0,0,0
200,321691.0,2,0,1,0,1,0,1,0,0
201,321691.0,2,0,1,0,1,0,1,0,0
202,413603.0,3,0,1,0,1,0,1,0,0
202,442741.0,2,0,1,0,1,0,0,0,0
203,459559.0,4,0,1,0,1,0,1,0,0
204,522969.0,2,0,1,0,1,0,0,0,0
205,752399.0,2,1,1,1,1,0,0,1,0
206,1075817.0,4,0,1,1,1,0,0,1,0
207,1271421.0,4,0,1,1,1,0,0,1,0
208,352734.0,2,0,1,0,1,0,1,0,0
209,440917.0,2,0,1,0,1,0,1,0,0
210,502646.0,2,0,1,0,1,0,1,0,0
210,477514.0,1,1,1,0,1,0,1,0,0
211,881835.0,3,1,1,0,1,0,1,0,0
212,955853.0,2,0,1,1,1,0,1,0,0
212,1449743.0,2,1,1,1,1,1,0,0,0
212,1610825.0,2,1,1,1,1,0,1,0,0
213,2256015.0,2,1,1,1,1,0,1,0,0
213,2579824.0,3,1,1,1,1,0,1,0,0
213,2211278.0,1,1,1,1,1,0,1,0,0
214,270440.0,2,0,1,0,1,1,0,0,0
215,909927.0,2,0,1,0,1,0,0,0,1
215,1123098.0,2,1,1,0,1,1,0,0,1
216,744486.0,1,0,1,0,1,0,0,0,1
216,867430.0,1,1,1,0,1,1,0,0,1
217,275000.0,2,0,0,0,1,1,0,0,0
217,305556.0,2,0,0,0,1,0,1,0,0
218,416667.0,3,0,0,0,1,0,1,0,0
219,462963.0,4,0,0,0,1,0,1,0,0
220,796041.0,2,0,1,0,1,0,1,0,0
221,929769.0,2,0,1,0,1,0,1,0,0
222,932235.0,2,0,1,0,1,0,1,0,0
223,1052917.0,2,0,1,0,1,0,1,0,0
224,1131680.0,4,0,1,0,1,0,1,0,0
225,1341667.0,4,0,1,0,1,0,1,0,0
226,1377697.0,4,0,1,0,1,0,1,0,0
227,1633333.0,4,0,1,0,1,0,1,0,0
228,388889.0,2,0,1,0,1,0,1,0,0
229,411111.0,2,0,1,0,1,0,1,0,0
230,475000.0,2,0,1,0,1,0,1,0,0
230,490000.0,3,0,1,0,1,0,1,0,0
231,481481.0,2,0,1,0,1,0,1,0,0
232,448919.0,2,1,1,0,1,0,1,0,0
233,563078.0,2,1,1,0,1,0,1,0,0
234,643768.0,2,0,1,0,1,0,1,0,0
234,668925.0,4,2,1,0,1,0,1,0,0
235,723683.0,2,0,1,0,1,0,1,0,0
235,751170.0,4,2,1,0,1,0,1,0,0
236,888415.0,4,2,1,0,1,0,1,0,0
237,398730.0,2,1,1,0,1,0,1,0,0
238,598765.0,1,0,1,0,1,1,0,0,0
239,696106.0,3,1,0,0,1,0,1,0,0
240,925926.0,4,0,0,0,0,0,1,0,0
241,495545.0,2,1,1,0,1,0,1,0,0
241,589963.0,2,1,1,0,1,0,1,0,0
242,578101.0,2,1,1,0,1,0,1,0,0
242,655444.0,2,1,1,0,1,0,1,0,0
243,1160495.0,4,1,1,0,1,0,1,0,0
243,1310574.0,4,1,1,0,1,0,1,0,0
244,277778.0,2,0,0,0,1,0,1,0,0
245,416667.0,4,0,0,0,1,0,1,0,0
246,837090.0,2,0,1,1,1,0,0,0,0
247,1740617.0,4,0,1,1,1,0,0,0,0
248,1740617.0,4,0,1,1,1,0,0,0,0
249,364174.0,2,1,1,0,1,0,1,0,0
249,390917.0,2,1,1,0,1,0,1,0,0
250,549831.0,5,1,1,0,1,0,1,0,0
250,557672.0,5,1,1,0,1,0,1,0,0
251,605213.0,2,1,1,0,1,0,1,0,0
251,615079.0,2,1,1,0,1,0,1,0,0
252,880641.0,2,1,1,0,1,0,1,0,0
252,893915.0,2,1,1,0,1,0,1,0,0
253,500000.0,2,0,1,0,1,0,1,0,0
254,597222.0,2,0,1,0,1,0,1,0,0
255,736111.0,4,0,1,0,1,0,1,0,0
256,277778.0,2,0,1,0,1,0,1,0,0
257,416667.0,2,0,1,0,1,0,1,0,0
258,416667.0,4,0,1,0,1,0,1,0,0
259,685185.0,2,0,0,0,0,0,1,0,0
260,745370.0,2,0,0,0,0,0,1,0,0
261,981481.0,2,0,0,0,0,0,1,0,0
262,1370370.0,4,0,0,0,0,0,1,0,0
263,324074.0,2,0,1,0,1,0,1,0,0
263,291667.0,1,0,1,0,1,0,1,0,0
264,370370.0,2,0,1,0,1,0,1,0,0
264,333333.0,1,0,1,0,1,0,1,0,0
265,509259.0,4,0,1,0,1,0,1,0,0
266,231481.0,2,0,1,0,1,0,1,0,0
267,277778.0,2,0,1,0,1,0,1,0,0
268,208041.0,2,0,1,0,1,0,1,0,0
268,231481.0,2,0,1,0,1,0,0,0,0
269,694444.0,2,0,0,0,1,0,1,0,0
270,1066177.0,4,0,0,0,1,0,0,0,0
271,722222.0,2,0,1,0,1,0,1,0,0
272,923000.0,2,0,1,0,1,0,1,0,0
273,259191.0,2,0,0,0,1,0,1,0,0
274,302390.0,2,0,0,0,1,0,1,0,0
275,388787.0,4,0,0,0,1,0,1,0,0
276,523208.0,2,0,1,0,1,0,1,0,0
276,517976.0,1,0,1,0,1,0,1,0,0
277,703126.0,4,0,1,0,1,0,1,0,0
278,324741.0,2,1,1,0,1,0,1,0,0
279,375571.0,2,1,1,0,1,0,1,0,0
280,506345.0,3,1,1,0,1,0,1,0,0
281,324074.0,1,0,1,0,1,0,1,0,0
282,604056.0,2,1,1,0,1,1,0,0,0
283,780423.0,2,1,1,0,1,1,0,0,0
283,702381.0,1,1,1,0,1,1,0,0,0
284,208333.0,2,1,1,0,1,0,1,0,0
285,254167.0,2,1,1,0,1,0,1,0,0
285,279583.0,2,1,1,0,1,1,0,0,0
286,361111.0,4,2,1,0,1,0,1,0,0
286,397222.0,4,2,1,0,1,1,0,0,0
287,299200.0,2,1,1,0,1,0,1,0,0
288,538267.0,4,0,1,0,1,0,1,0,0
289,305120.0,2,1,1,0,1,0,1,0,0
290,407593.0,4,0,1,0,1,0,1,0,0
291,329381.0,2,0,0,0,0,1,0,0,0
292,329381.0,2,0,0,0,0,1,0,0,0
293,417506.0,2,0,0,0,0,1,0,0,0
294,467009.0,2,0,0,0,0,1,0,0,0
295,9837963.0,2,0,0,0,1,0,1,0,0
296,223346.0,2,0,1,0,1,0,1,0,0
297,1474338.0,4,1,1,0,1,0,0,0,0
298,654871.0,2,0,1,0,0,0,1,0,0
298,689338.0,2,0,1,0,0,0,0,0,0
298,635226.0,1,0,1,0,0,0,1,0,0
298,668658.0,1,0,1,0,0,0,0,0,0
299,781250.0,2,0,1,0,0,0,0,0,0
300,353660.0,2,0,1,0,1,1,0,0,0
301,446876.0,2,1,1,0,1,0,1,0,0
302,637500.0,4,1,1,0,1,0,1,0,0
303,703125.0,2,1,1,0,1,0,1,0,0
304,1021875.0,2,1,1,0,1,0,1,0,0
305,1475192.0,7,1,0,0,1,0,0,0,0
306,500346.0,2,1,1,0,1,0,0,0,0
307,452431.0,4,1,1,0,1,1,0,0,0
308,576527.0,2,0,1,0,1,0,1,0,0
309,638889.0,2,0,1,0,1,0,1,0,0
310,870370.0,4,0,1,0,1,0,1,0,0
311,,0,0,0,0,0,0,0,0,0
312,495370.0,2,0,1,0,1,0,1,0,0
312,666667.0,3,0,1,0,1,0,1,0,0
312,470602.0,1,0,1,0,1,0,1,0,0
313,583333.0,2,0,1,0,1,0,1,0,0
313,565833.0,1,0,1,0,1,0,1,0,0
314,648148.0,2,0,1,0,1,0,1,0,0
314,628704.0,1,0,1,0,1,0,1,0,0
315,675926.0,2,0,1,0,1,0,1,0,0
315,608333.0,1,0,1,0,1,0,1,0,0
316,,0,0,0,0,0,0,0,0,0
317,,0,0,0,0,0,0,0,0,0
318,,0,0,0,0,0,0,0,0,0
319,,0,0,0,0,0,0,0,0,0
320,390442.0,2,0,1,0,1,1,0,0,0
321,440917.0,2,0,1,0,1,0,1,0,0
322,1040444.0,4,1,1,0,1,0,0,0,0
323,701392.0,2,1,1,1,1,0,0,0,0
323,826875.0,2,0,1,1,1,0,1,0,0
323,860615.0,2,1,1,1,1,0,0,0,0
323,964688.0,2,0,1,1,1,0,1,0,0
324,701392.0,2,1,1,1,1,0,0,0,0
324,826875.0,2,0,1,1,1,0,1,0,0
324,860615.0,2,1,1,1,1,0,0,0,0
324,964688.0,2,0,1,1,1,0,1,0,0
325,979249.0,2,1,1,1,1,0,0,0,0
325,1096988.0,2,0,1,1,1,0,1,0,0
326,979249.0,2,1,1,1,1,0,0,0,0
326,1096988.0,2,0,1,1,1,0,1,0,0
327,979249.0,2,1,1,1,1,0,0,0,0
327,1096988.0,2,0,1,1,1,0,1,0,0
328,1097573.0,2,1,1,1,1,0,0,0,0
