room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,views,bathroom_count,balcony-terrace,closet,air_conditioning,mini_bar,bathtub,shower,refrigerator,private-pool,jacuzzi-bathtub,bedroom_count,price_option_price,adults_number,children_number,có_bữa_sáng,bãi_đậu_xe,phòng_tập,vào_hồ_bơi_miễn_phí,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,đã_kèm_bữa_sáng,hotel_id,room_room_type_name,hotel_name,region
27,0,0,0,0,1,0,0,0,0,0,1,12.0,thanh pho,1,,,,,,,,,,0,335097.0,2,0,100000,1,0,0,1,0,1,0,37848723,Phòng Tiêu Chuẩn (Standard Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
28,1,0,0,0,0,0,0,0,0,0,1,18.0,thanh pho,0,,,,True,,,,,,0,277193.0,2,0,100000,1,0,0,1,0,1,0,37848723,Phòng Superior (Superior Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
28,1,0,0,0,0,0,0,0,0,0,1,18.0,thanh pho,0,,,,True,,,,,,0,286631.0,2,0,100000,1,0,0,1,0,0,0,37848723,Phòng Superior (Superior Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
28,1,0,0,0,0,0,0,0,0,0,1,18.0,thanh pho,0,,,,True,,,,,,0,337213.0,2,0,100000,1,0,0,1,0,1,0,37848723,Phòng Superior (Superior Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
29,0,0,0,0,1,0,0,0,0,0,1,18.0,thanh pho,1,,,,True,,,,,,0,284151.0,2,0,100000,1,0,0,1,0,1,0,37848723,Phòng Loại Sang (Deluxe Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
29,0,0,0,0,1,0,0,0,0,0,1,18.0,thanh pho,1,,,,True,,,,,,0,293827.0,2,0,100000,1,0,0,1,0,0,0,37848723,Phòng Loại Sang (Deluxe Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
29,0,0,0,0,1,0,0,0,0,0,1,18.0,thanh pho,1,,,,True,,,,,,0,345679.0,2,0,100000,1,0,0,1,0,1,0,37848723,Phòng Loại Sang (Deluxe Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
30,1,0,0,0,0,0,0,0,0,0,1,22.0,cong vien,1,,,,,,,,,,0,376653.0,4,0,100000,1,0,0,1,0,1,0,37848723,Phòng Gia Đình (Family Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
30,1,0,0,0,0,0,0,0,0,0,1,22.0,cong vien,1,,,,,,,,,,0,382575.0,4,0,100000,1,0,0,1,0,0,0,37848723,Phòng Gia Đình (Family Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
30,1,0,0,0,0,0,0,0,0,0,1,22.0,cong vien,1,,,,,,,,,,0,450088.0,4,0,100000,1,0,0,1,0,1,0,37848723,Phòng Gia Đình (Family Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
31,1,0,0,0,0,0,0,0,0,0,1,35.0,cong vien,1,,,,,,,,,,0,392593.0,4,0,100000,1,0,0,1,0,1,0,37848723,Phòng Gia Đình Loại Sang (Deluxe Family Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
31,1,0,0,0,0,0,0,0,0,0,1,35.0,cong vien,1,,,,,,,,,,0,398765.0,4,0,100000,1,0,0,1,0,0,0,37848723,Phòng Gia Đình Loại Sang (Deluxe Family Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
31,1,0,0,0,0,0,0,0,0,0,1,35.0,cong vien,1,,,,,,,,,,0,469136.0,4,0,100000,1,0,0,1,0,1,0,37848723,Phòng Gia Đình Loại Sang (Deluxe Family Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),Bình Dương
32,0,1,0,0,0,0,0,0,0,0,1,26.0,thanh pho,1,,,,True,,,,,,0,1769306.0,2,0,100000,1,1,0,1,1,0,1,39821588,Giường Lớn Cao Cấp (Superior King),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
33,0,0,1,0,0,0,0,0,0,0,1,26.0,thanh pho,1,,,,True,,,,,,0,1769306.0,2,0,100000,1,1,0,1,1,0,1,39821588,Superior 2 giường (Superior Twin),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
34,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,True,,,True,,,,,,0,1847428.0,2,0,227000,1,1,0,1,1,0,0,39821588,Phòng Deluxe cao cấp 2 giường (Premium Deluxe Twin Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
34,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,True,,,True,,,,,,0,2033053.0,2,0,100000,1,1,0,1,1,0,1,39821588,Phòng Deluxe cao cấp 2 giường (Premium Deluxe Twin Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
34,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,True,,,True,,,,,,0,2082836.0,2,0,227000,1,1,0,1,0,1,0,39821588,Phòng Deluxe cao cấp 2 giường (Premium Deluxe Twin Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
34,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,True,,,True,,,,,,0,2160996.0,2,0,100000,1,1,0,1,0,1,1,39821588,Phòng Deluxe cao cấp 2 giường (Premium Deluxe Twin Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
35,0,1,0,0,0,0,0,0,0,0,1,38.0,thanh pho,0,True,,,True,,,,,,0,1847428.0,2,0,227000,1,1,0,1,1,0,0,39821588,Phòng Premium Deluxe có Giường cỡ King (Premium Deluxe King Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
35,0,1,0,0,0,0,0,0,0,0,1,38.0,thanh pho,0,True,,,True,,,,,,0,2033053.0,2,0,100000,1,1,0,1,1,0,1,39821588,Phòng Premium Deluxe có Giường cỡ King (Premium Deluxe King Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
35,0,1,0,0,0,0,0,0,0,0,1,38.0,thanh pho,0,True,,,True,,,,,,0,2082836.0,2,0,227000,1,1,0,1,0,1,0,39821588,Phòng Premium Deluxe có Giường cỡ King (Premium Deluxe King Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
35,0,1,0,0,0,0,0,0,0,0,1,38.0,thanh pho,0,True,,,True,,,,,,0,2544080.0,2,0,100000,1,1,0,1,0,1,1,39821588,Phòng Premium Deluxe có Giường cỡ King (Premium Deluxe King Room),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
36,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,,,,True,,,,,,0,1935617.0,2,0,227000,1,1,0,1,0,0,0,39821588,Phòng Deluxe 2 Giường đơn (Deluxe Twin),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
36,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,,,,True,,,,,,0,1955315.0,2,0,227000,1,1,0,1,0,1,0,39821588,Phòng Deluxe 2 Giường đơn (Deluxe Twin),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
