hotel_id,room_room_type_name,room_type_id
74495019,Phòng Superior Có Ban Công (Superior Balcony),7374
46358814,Căn hộ (Apartment),7375
46358814,Phòng Đôi Loại Sang (Deluxe Double Room),7376
66752535,Phòng Tiêu Chuẩn Giường Lớn (Standard King Room),7377
66752535,Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony),7378
66752535,Giường trong Phòng ngủ tập thể 4 người (Bed in 4-Bed Dormitory Room),7379
61747439,Căn Hộ - Lệch Tầng (Apartment - Split Level),7380
61860812,Phòng Giường Đôi Nhỏ (Small Double Room),7381
61860812,Phòng Queen - Không Có cửa sổ (Queen Room no window),7382
61860812,Phòng Cơ Bản Giường Đôi Lớn (Basic Queen Room),7383
75544192,Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin),7384
75544192,Phòng Đôi (Double Room),7385
64899595,Phòng Đôi (Double Room),7386
1196103,Phòng Hạng Tiết kiệm Có Máy Điều Hòa (Economy Room with Air Conditioning),7387
1196103,Phòng Gia Đình (Family Room),7388
38139444,Phòng Cao Cấp Giường Đôi (Chỉ Gồm Phòng Nghỉ) (Superior Double (Room Only)),7389
38139444,Phòng Đôi Loại Sang (Double Deluxe),7390
78703509,Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),7391
165221,Phòng Deluxe Giường Đôi/2 Giường Đơn (Deluxe Double or Twin Bed),7392
165221,Deluxe hướng thành phố (Deluxe City View),7393
26079603,Phòng Đôi (Double Room),7394
26079603,Phòng Ba Người (Triple Room),7395
59539724,Phòng Cao Cấp Cho Hai Người (Superior Double Room),7396
59539724,Phòng Deluxe giường đôi có ban công (Deluxe Double Room with Balcony),7397
51976991,Annex Single Room - Smoking,7398
51976991,Room with Window (room with window),7399
247696,Phòng giường đôi nhỏ (Small Double Room),7400
247696,Phòng Deluxe Giường đôi Nhìn ra Hồ bơi (Deluxe Double Pool View),7401
66712862,Phòng Đôi (Double Room),7402
66712862,Phòng Deluxe Giường Đôi Có Vòi Sen (Deluxe Double Room with Shower),7403
75983502,Phòng Đôi (Double Room),7404
75983502,Phòng 4 Người (Quadruple Room),7405
24337561,Phòng Tiêu Chuẩn (Standard),7406
24337561,Phòng Loại Sang (Deluxe),7407
69127351,Căn hộ 2 phòng ngủ nhìn ra cảnh thành phố (Two-Bedroom Apartment with City View),7408
7423510,Phòng Giường Đôi Có Phòng Tắm Riêng (Double Room with Private Bathroom),7409
239449,Phòng Tiêu Chuẩn (Standard),7410
239449,Phòng Superior (Superior),7411
58958160,Căn hộ (Apartment),7412
58958160,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),7413
48601347,Phòng Đôi (Double Room),7414
48601347,Phòng gia đình với phòng tắm riêng. (Family Room with Private Bathroom),7415
80193483,Villa riêng (Private Villa),7416
50160804,Nhà riêng Deluxe (Deluxe Home),7417
50160804,Biệt Thự Deluxe (Deluxe Villa),7418
50938894,Villa riêng (Private Villa),7419
61019121,Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin),7420
80245520,Phòng Giường Đôi Với Phòng Tắm Chung (Double Room with Shared Bathroom),7421
80245520,Phòng giường đôi có ban công (Double Room with Balcony),7422
72813320,Phòng Giường Đôi Nhìn Ra Vườn (Double Room with Garden View),7423
72813320,Phòng Giường Đôi Nhìn Ra Vườn (Double Room with Garden View),7424
77580459,Phòng Giường Đôi Nhìn Ra Vườn (Double Room with Garden View),7425
62132963,Phòng Tiêu Chuẩn (Standard Room),7426
62132963,HAI GIƯỜNG ĐƠN (Twin),7427
62132963,Deluxe có ban công (Deluxe Balcony),7428
78696714,Phòng Đơn (Sky Single Room),7429
78696714,Phòng Đôi (Double),7430
45764475,Biệt Thự (Villa),7431
38858115,Phòng Đôi Loại Sang (Deluxe Double Room),7432
38858115,Phòng Tiêu Chuẩn Giường Lớn (Standard King Room),7433
76248903,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),7434
77598029,Phòng Đôi (Double Room),7435
63082773,Căn hộ (Apartment),7436
38942591,Phòng Đôi (Double Room),7437
38942591,Phòng Deluxe Gia đình (Deluxe Family Room),7438
5892329,Phòng giường đôi (double rooms),7439
5892329,Phòng Giường Đôi Lớn (Large Double Room),7440
78733832,Phòng Deluxe Có Giường Cỡ King (Deluxe King Room),7441
78982515,Nhà 3 Phòng Ngủ (Three-Bedroom House),7442
78982515,Nhà riêng (home),7443
70874983,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),7444
70874983,Căn hộ (Apartment),7445
699556,Phòng Giường Đôi Hạng Bình Dân (Budget Double Room),7446
699556,Deluxe Cửa Sổ (Deluxe Window),7447
699556,Phòng Gia đình Có ban công (Balcony Family),7448
699556,Phòng Deluxe 4 Người (Deluxe Quadruple Room),7449
78486524,Phòng Giường Đôi Lớn (Large Double Room),7450
78486524,Phòng Deluxe Có Giường Cỡ King (Deluxe King Room),7451
78486524,Phòng Gia Đình (Family Room),7452
56381877,Căn hộ (Apartment),7453
63998076,Phòng Tiêu Chuẩn Giường Lớn (Standard King Room),7454
63998076,Phòng Đôi Loại Sang (Deluxe Double Room),7455
63998076,Suite Gia Đình Có Ban Công (Family Suite with Balcony),7456
74362090,Phòng Giường Đôi Có Phòng Tắm Riêng (Double Room with Private Bathroom),7457
74362090,Phòng Có Giường Cỡ King (King Room),7458
74362090,Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony),7459
74362090,Phòng Gia Đình (Family Room),7460
71476058,Phòng Giường Đôi Nhỏ Gọn (Compact Double Room),7461
71476058,Phòng Đôi Tiêu Chuẩn - 2 Người Lớn (Standard Double Room - 2 Adults),7462
71476058,Phòng Đôi Ấm Cúng (Cosy Double),7463
71476058,Phòng Giường Tầng Cho Gia Đình (Family Bunker Room),7464
71476058,Giường Tầng (Bunk Bed),7465
59283060,Nhà 1 Phòng Ngủ (One-Bedroom House),7466
76910620,Phòng Giường Đôi Nhìn Ra Núi (Double Room with Mountain View),7467
76910620,Phòng 4 người Nhìn ra cảnh Núi non (Quadruple Room with Mountain View),7468
76910620,Suite nhìn ra núi (Suite with Mountain View),7469
76910620,Phòng Tiêu chuẩn hướng núi (Standard Mountain View),7470
65908779,Phòng Loại Sang (Deluxe),7471
65908779,Phòng Có Giường Cỡ Queen (Queen Room),7472
65908779,Phòng 2 Giường Đơn Nhìn Ra Hồ Bơi (Twin Room with Pool View),7473
65908779,Phòng Giường Đôi Nhìn Ra Hồ Bơi (Double Room with Pool View),7474
75895328,Căn Hộ 3 Phòng Ngủ (Three-Bedroom Apartment),7475
75895328,Căn Hộ 2 Phòng Ngủ Có Ban Công (Two-Bedroom Apartment with Balcony),7476
68422202,Phòng Tiêu Chuẩn (Standard),7477
68422202,Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin),7478
68422202,Phòng 4 người nhìn ra vườn (Quadruple Room with Garden View),7479
68422202,Phòng Gia Đình (Family Room),7480
47568310,"Deluxe Double Room, 1 King Bed, Non Smoking",7481
47568310,Phòng Loại Sang Giường Đôi (Deluxe Double Room),7482
47568310,Phòng Studio (Studio Room),7483
47568310,Căn Hộ 1 Phòng Ngủ (One Bedroom Apartment),7484
76165341,Phòng Đôi Loại Sang (Deluxe Double Room),7485
76165341,Phòng Deluxe 4 Người (Deluxe Quadruple Room),7486
76165341,Nhà 3 Phòng Ngủ (Three-Bedroom House),7487
173590,Phòng Superior (Superior),7488
173590,Phòng Superior (Superior Room),7489
173590,Phòng Suite Có ban công Hướng vườn (Suite Balcony with garden view),7490
12165838,Phòng Cao Cấp Cho Hai Người (Superior Double Room),7491
12165838,Phòng Superior 2 giường (Superior Twin Room),7492
12165838,Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),7493
5710150,Phòng Tiêu Chuẩn (Standard),7494
5710150,Phòng Superior (Superior),7495
5710150,Phòng Loại Sang (Deluxe),7496
31565013,Nhà riêng (home ),7497
66840185,Phòng Superior giường Queen (Superior Queen Bed),7498
66840185,Phòng Suite Có Ban Công (Suite Balcony),7499
47411993,Phòng Giường Đôi Lớn (Large Double Room),7500
47411993,Phòng Giường Đôi Lớn (Large Double Room),7501
47411993,Phòng Giường Đôi Lớn (Large Double Room),7502
76203985,Nhà Liền Kề (Townhouse),7503
69313636,Biệt Thự (Villa),7504
71447605,Căn Hộ 2 Phòng Ngủ Có Ban Công (Two-Bedroom Apartment with Balcony),7505
71447605,Căn Hộ 2 Phòng Ngủ Nhìn Ra Hồ Bơi (Two-Bedroom Apartment with Pool View),7506
71447605,Căn hộ 2 phòng ngủ nhìn ra cảnh thành phố (Two-Bedroom Apartment with City View),7507
63059756,Villa riêng (Private Villa),7508
73517236,Phòng giường đôi không có cửa sổ (Double Room without Window),7509
73517236,Phòng Đôi (Double Room),7510
73517236,Phòng 3 Người Cấm Hút Thuốc (Triple Room Non Smoking),7511
73517236,2 Giường Đơn Tiêu Chuẩn (2 Single Beds Standard),7512
73517236,Phòng Ngủ Ba Người (Triple Bedroom),7513
73517236,Phòng gia đình lớn (Large Family Room),7514
60140491,Phòng Deluxe Giường Đôi/2 Giường Đơn Có Ban Công (Deluxe Double or Twin Room with Balcony),7515
10219628,Studio Deluxe (Deluxe Studio),7516
10219628,Studio Deluxe (Deluxe Studio),7517
76203897,Phòng Giường Đôi Nhìn Ra Vườn (Double Room with Garden View),7518
76203897,Phòng tắm riêng đôi (Double Private Bathroom),7519
76203897,Phòng Đôi – ẤM CÚNG (Double Room - COZY),7520
76203897,Phòng Giường Đôi Có Ban Công (Double Room with Balcony),7521
76203897,Phòng Deluxe Giường Đôi Có Bồn Tắm (Deluxe Double Room with Bath),7522
76203897,Phòng đôi nhìn ra phong cảnh (Landscape View Guest Double Room),7523
76203897,Phòng Nhìn Ra Sông (River Room),7524
76203897,Phòng Toàn Cảnh có Ban Công (Panoramic Room with Balcony),7525
55759532,Căn hộ 2 phòng ngủ nhìn ra cảnh thành phố (Two-Bedroom Apartment with City View),7526
32605950,Phòng Deluxe Giường Đôi (1 Giường Cỡ King) (Deluxe Double Room (1 King Bed)),7527
32605950,Phòng Đôi hoặc Hai Giường Đơn Loại Sang (Deluxe Double or Twin Room),7528
32605950,Deluxe 2 giường hướng sân vườn (Deluxe Garden Twin),7529
32605950,Deluxe gia đình Hướng hồ bơi (Deluxe Family Pool View),7530
32605950,Villa 5 phòng ngủ (5 Bedrooms),7531
281710,Phòng Loại Sang (Deluxe),7532
281710,Phòng cho 3 người có Ban Công (Triple Room with Balcony),7533
80247895,Phòng Có Giường Cỡ Queen Với Ban Công (Queen Room with Balcony),7534
80247895,Phòng Giường Đôi Có Ban Công (2 Người Lớn + 1 Trẻ Em) (Double Room with Balcony (2 Adults + 1 Child)),7535
80247895,Phòng giường Queen (Queen Room),7536
