,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace_str,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,blackout_curtains,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,air-bath-access,hot-spring-access,bedroom_str,bedroom_count,wifi_str,confirmation-instant_str,confirmation-instant
3766,6745,0,0,0,0,1,0,0,0,0,0,1,18.0,1,1,Hướng Ngoài trời,ngoai troi,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3767,6746,0,0,0,0,1,0,0,0,0,0,1,25.0,1,1,Hướng Núi,nui,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3768,6747,0,0,0,0,1,0,0,0,0,0,1,25.0,1,1,Hướng Núi,nui,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3769,6748,0,0,0,0,1,0,0,0,0,0,1,28.0,0,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,True,,,True,True,,True,,,,,,,,,,,,,,,True,,,,,,,,0,,Hành lang ngoài,hanh lang ngoai
3770,6749,0,0,1,0,0,0,0,0,0,0,1,30.0,0,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,True,,,True,True,,True,,,,,,,,True,,,,,,,True,,,,,,,,0,,Cửa sổ,cua so
3771,6750,0,1,0,0,0,0,0,0,0,0,1,38.0,0,1,Hướng Thành phố,thanh pho,Ban công/sân hiên,True,True,,,True,True,,True,,,,,,,,,,,,,,,True,,,,,,,,0,,Cửa sổ,cua so
3772,6751,0,1,0,0,0,0,0,0,0,0,1,,0,1,,,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,0,,,
3773,6752,0,1,0,0,0,0,0,0,0,0,1,33.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3774,6753,0,1,0,0,1,0,0,0,0,0,1,33.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,True,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3775,6754,0,1,1,0,0,0,0,0,0,0,1,33.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,True,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3776,6755,0,1,0,0,0,0,0,0,0,0,1,30.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3777,6756,0,0,1,0,0,0,0,0,0,0,1,30.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3778,6757,0,0,1,0,0,0,0,0,0,0,1,35.0,0,1,Hướng Núi,nui,,,True,,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3779,6758,0,1,0,0,0,0,0,0,0,0,1,55.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3780,6759,0,1,0,0,0,0,0,0,0,0,1,40.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3781,6760,0,1,0,0,0,0,0,0,0,0,1,60.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3782,6761,0,1,0,0,0,0,0,0,0,0,1,,0,1,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3783,6762,0,0,0,0,1,0,0,0,0,0,1,,1,1,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,,,
3784,6763,0,0,0,0,1,0,0,0,0,0,1,,1,1,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,0,,,
3785,6764,1,0,0,0,0,0,0,0,0,0,1,26.0,1,0,Hướng Ngoài trời,ngoai troi,Ban công/sân hiên,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3786,6765,1,0,0,0,0,0,0,0,0,0,1,20.0,1,0,Hướng Núi,nui,Ban công/sân hiên,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3787,6766,0,1,0,0,0,0,0,0,0,0,1,,1,1,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3788,6825,0,1,1,0,0,0,0,0,0,0,2,24.0,1,0,Hướng Núi,nui,Ban công/sân hiên,True,,,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3789,6826,1,0,1,0,0,0,0,0,0,0,1,30.0,1,0,Hướng Núi,nui,Ban công/sân hiên,True,,,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3790,6827,0,1,0,0,0,0,0,0,0,0,1,20.0,0,1,Hướng Thiên nhiên,thien nhien,Ban công/sân hiên,True,,,,True,True,,,,True,,,,,,,True,,,,,,,,True,,,,,,0,,Cửa sổ,cua so
3791,6828,0,0,0,0,0,0,0,0,0,0,1,20.0,0,1,Hướng Vườn,vuon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Ấm nước điện,am nuoc dien
3792,6829,0,0,0,0,0,0,0,0,0,0,1,30.0,0,1,Hướng Thành phố,thanh pho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Ấm nước điện,am nuoc dien
3793,6830,0,0,0,0,0,0,0,0,0,0,1,,0,1,Hướng Thành phố,thanh pho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Ấm nước điện,am nuoc dien
3794,6831,0,1,0,0,0,0,0,0,0,0,1,27.0,1,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3795,6832,0,1,0,0,0,0,0,0,0,0,1,25.0,1,0,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,0,,Ấm nước điện,am nuoc dien
3796,6833,1,0,0,0,0,0,0,0,0,0,2,18.0,1,0,,,Ban công/sân hiên,True,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,0,,Ấm nước điện,am nuoc dien
3797,6834,1,0,0,0,0,0,0,0,0,0,1,30.0,1,0,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,0,,,
3798,6835,1,1,0,0,0,0,0,0,0,0,1,40.0,1,1,Hướng Núi,nui,Ban công/sân hiên,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,Studio/1 phòng ngủ,1,,Điều hòa cá nhân,dieu hoa ca nhan
3799,6836,0,0,0,0,0,0,0,0,0,0,1,25.0,0,1,Hướng Thành phố,thanh pho,,,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,0,,Rượu,ruou
3800,6837,0,0,0,0,0,0,0,0,0,0,1,25.0,0,1,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,True,,,,,,,0,,Trái cây/đồ ăn vặt,trai cay/do an vat
3801,6838,0,0,0,0,0,0,0,0,0,0,1,25.0,0,1,Hướng Thành phố,thanh pho,Ban công/sân hiên,True,True,,,True,True,,True,,,,,,,,,,,True,,,,,True,,,,,,,0,,,
3802,6839,0,0,0,0,0,0,0,0,0,0,1,,0,1,Hướng Núi,nui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3803,6840,0,1,0,0,0,0,0,0,0,0,1,,0,1,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
