room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,price_option_price,adults_number,children_number,bãi_đậu_xe,phòng_tập,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,vào_hồ_bơi_miễn_phí,đã_kèm_bữa_sáng,hotel_id,room_room_type_name,hotel_name,hotel_address,region
17.0,1,1,1,1,1,1,1,1,1,1.0,40.0,0.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,581065.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Phòng Deluxe 2 Giường đơn (Deluxe Twin),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
18.0,1,1,1,1,1,1,1,1,1,1.0,45.0,0.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,741882.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Phòng Deluxe Executive (Deluxe Executive Room),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
19.0,1,1,1,1,1,1,1,1,1,1.0,20.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,794595.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Phòng Superior 2 giường đơn (Superior Twin Room),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
20.0,1,1,1,1,1,1,1,1,1,1.0,30.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,810811.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Phòng Loại Sang (Deluxe),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
21.0,1,1,1,1,1,1,1,1,1,1.0,40.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,891892.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Phòng Lớn 2 Giường Đơn (Large Twin Room),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
22.0,1,1,1,1,1,1,1,1,1,1.0,45.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1135136.0,2.0,0.0,1,1,1,1,1,1,1,78191120.0,Suite Executive (Executive Suite),Khách sạn FELIZ – Executive Stay (FELIZ Hotel – Executive Stay),"80 Đ. D8, Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Thủ Dầu Một, Bình Dương, Việt Nam",Bình Dương
23.0,1,1,1,1,1,1,1,1,1,1.0,18.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,335629.0,2.0,0.0,1,1,1,1,1,1,1,67742118.0,Phòng Đôi (Double Room),Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Vietnam, Hòa Phú, Bình Dương, Việt Nam",Bình Dương
23.0,1,1,1,1,1,1,1,1,1,1.0,18.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,388889.0,2.0,0.0,1,1,1,1,1,1,1,67742118.0,Phòng Đôi (Double Room),Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Vietnam, Hòa Phú, Bình Dương, Việt Nam",Bình Dương
24.0,1,1,1,1,1,1,1,1,1,1.0,22.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,468342.99999999994,2.0,0.0,1,1,1,1,1,1,1,67742118.0,Phòng Hai Giường Đơn (Twin Room),Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Vietnam, Hòa Phú, Bình Dương, Việt Nam",Bình Dương
25.000000000000004,1,1,1,1,1,1,1,1,1,1.0,45.0,1.0,1,nature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,703704.0,2.0,0.0,1,1,1,1,1,1,1,67742118.0,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Vietnam, Hòa Phú, Bình Dương, Việt Nam",Bình Dương
26.000000000000004,1,1,1,1,1,1,1,1,1,1.0,25.0,0.0,1,no view,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,703829.0000000001,2.0,0.0,1,1,1,1,1,1,1,67742118.0,Căn Hộ Nhỏ Hai Giường Đơn (Twin Studio),Khách sạn Khang Điền (Khang Đien Hotel),"An Dương Vương, Hòa Phú, L5 L6 An Dương Vương Hòa Phú, Hòa Phú, Bình Dương, Vietnam, Hòa Phú, Bình Dương, Việt Nam",Bình Dương
26.999999999999996,1,1,1,1,1,1,1,1,1,1.0,12.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,261977.0,2.0,0.0,1,1,1,1,1,1,1,37848723.0,Phòng Tiêu Chuẩn (Standard Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),"Housing Area 19-8 Hoa Cuc Phuong - 72C, Hoa Cúc Phương - 72C, Dĩ An, Bình Dương, Việt Nam, 75000",Bình Dương
26.999999999999996,1,1,1,1,1,1,1,1,1,1.0,12.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,284832.0,2.0,0.0,1,1,1,1,1,1,1,37848723.0,Phòng Tiêu Chuẩn (Standard Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),"Housing Area 19-8 Hoa Cuc Phuong - 72C, Hoa Cúc Phương - 72C, Dĩ An, Bình Dương, Việt Nam, 75000",Bình Dương
26.999999999999996,1,1,1,1,1,1,1,1,1,1.0,12.0,1.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,335097.0,2.0,0.0,1,1,1,1,1,1,1,37848723.0,Phòng Tiêu Chuẩn (Standard Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),"Housing Area 19-8 Hoa Cuc Phuong - 72C, Hoa Cúc Phương - 72C, Dĩ An, Bình Dương, Việt Nam, 75000",Bình Dương
28.0,1,1,1,1,1,1,1,1,1,1.0,18.0,0.0,1,city,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,277193.0,2.0,0.0,1,1,1,1,1,1,1,37848723.0,Phòng Superior (Superior Room),Khách sạn Hoa Cúc Phương (Hoa Cúc Phương Hotel),"Housing Area 19-8 Hoa Cuc Phuong - 72C, Hoa Cúc Phương - 72C, Dĩ An, Bình Dương, Việt Nam, 75000",Bình Dương
