room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count
70,0,0,0,0,1,0,0,0,0,1,41.0,0,1,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,0,0,0,0,0,0,0,0,1,25.0,1,1,no view,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0,1,32.0,1,1,city,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,1,0,0,0,0,0,0,1,22.0,1,1,city,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,1,0,0,0,0,0,0,0,1,22.0,1,1,city,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,1,0,0,0,0,0,0,0,1,33.0,1,1,city,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,1,0,0,0,0,0,0,0,1,33.0,1,1,city,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,1,0,0,0,0,0,0,1,33.0,1,1,city,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,1,0,0,0,0,0,0,0,1,33.0,1,1,city,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,1,0,0,0,0,0,0,0,1,26.0,0,1,garden,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
80,1,0,0,0,0,0,0,0,0,1,35.0,0,1,no view,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,1,0,0,0,0,0,0,1,35.0,1,1,city,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,0,0,0,0,0,0,0,0,1,35.0,1,1,garden,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,1,0,0,0,0,0,0,0,1,35.0,0,1,garden,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,1,35.0,1,1,city,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,0,0,1,35.0,1,1,garden,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,1,0,0,0,0,1,20.0,1,1,no view,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
87,0,0,1,0,0,0,0,0,0,1,28.0,1,0,city,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,1,0,0,0,0,1,28.0,0,1,no view,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,1,0,0,0,0,0,0,1,30.0,1,1,no view,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90,0,1,0,0,0,0,0,0,0,1,35.0,1,0,city,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,1,0,0,0,0,0,0,0,1,40.0,1,1,city,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
92,0,1,0,0,0,0,0,0,0,1,50.0,1,1,nature,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,1,0,0,0,0,0,0,0,1,70.0,2,1,nature,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,0,0,0,0,0,0,0,0,1,25.0,1,1,city,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,1,0,0,0,0,1,0,0,0,1,75.0,2,1,city,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
96,0,1,0,0,0,0,0,0,0,1,32.0,0,1,city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,1,0,0,0,0,0,0,0,1,40.0,0,1,nature,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,1,32.0,0,1,city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,1,0,0,0,0,0,0,0,1,45.0,0,1,city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,1,0,0,0,0,0,0,1,45.0,1,1,city,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,1,0,0,0,0,0,0,1,66.0,1,1,city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1,0,0,0,0,0,0,0,2,25.0,1,1,nature,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,1,0,0,0,0,0,0,0,1,45.0,1,1,nature,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,0,1,25.0,1,1,garden,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,1,0,0,0,0,1,20.0,1,1,garden,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0,1,26.0,0,1,city,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,1,0,0,0,0,0,0,0,0,1,28.0,1,1,city,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,1,0,0,0,0,1,25.0,1,1,no view,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,1,0,0,0,0,1,20.0,1,1,no view,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,0,0,0,0,0,0,0,0,1,12.0,1,1,no view,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,0,0,0,0,0,0,0,0,1,20.0,1,1,garden,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,0,1,0,0,0,0,0,0,1,30.0,1,1,garden,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,1,0,0,0,0,0,0,1,10.0,1,1,no view,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0,0,0,1,18.0,0,1,no view,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
