,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,confirmation-instant
119,122,0,1,0,0,0,0,0,0,0,1,40.0,1,1,thanh pho,,True,True,,,,,,,,,,,True,,,,,,,,,,,,,0,cua so
120,123,0,0,0,0,1,0,0,0,0,1,25.0,1,1,vuon,True,,,True,,,True,,,,True,,,True,,,,,,,,,,,,,0,am nuoc dien
121,124,0,0,0,0,1,0,0,0,0,1,35.0,1,1,ngoai troi,True,,,True,,,True,,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
122,125,0,0,0,0,1,0,0,0,0,1,60.0,1,1,ngoai troi,True,,,True,,,True,,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
123,126,0,0,0,0,1,0,0,0,0,1,16.0,1,1,ngoai troi,,True,,,True,,,,,,,,,,,,,,,,,,,,,,0,cua so co the mo ra
124,127,0,0,0,0,1,0,0,0,0,1,18.0,1,1,ngoai troi,,True,,,True,,,,,,,True,,,,,,,,,,,,,,,0,cua so co the mo ra
125,128,0,0,0,0,1,0,0,0,0,1,50.0,0,1,thanh pho,True,,,True,,True,True,,,,True,,,,,,,,,,,,,,,,0,
126,129,1,0,0,0,0,0,0,0,0,1,58.0,2,1,,True,,,True,,,,,,,,True,,,,,,,,True,,,,,,,0,cua so
127,130,1,0,0,1,0,0,0,0,0,1,50.0,1,1,ngoai troi,True,,True,,,,True,,,,,,,,,,,,,True,,,,,,,0,do dung cho giac ngu thoai mai
128,131,0,1,0,0,0,0,0,0,0,1,26.0,0,1,,,True,True,True,True,,,,,,True,,,,,,,,,,,,,,,,0,
129,132,0,1,1,0,0,0,0,0,0,1,50.0,0,1,,,True,True,True,True,True,,,,,True,,,,,,,,,,,,,,,,0,
130,133,0,1,0,0,0,0,0,0,0,1,50.0,0,1,,,True,,True,True,True,,,,,True,,,,,,,,,,,,,,,,0,
131,134,0,1,0,0,0,0,0,0,0,1,50.0,0,1,,,,,True,,True,,,True,,,,,,,,,,,,,,,,,,0,
132,135,0,1,0,0,1,0,0,0,0,1,50.0,0,1,thanh pho,,,,True,True,True,,,True,,True,,,,,,,,,,,,,,,,0,
