iter	Passed	Remaining
596	2734	1845
597	2738	1840
598	2742	1835
599	2745	1830
600	2749	1825
601	2753	1820
602	2756	1814
603	2759	1809
604	2763	1804
605	2767	1799
606	2771	1794
607	2774	1789
608	2778	1783
609	2781	1778
610	2785	1773
611	2789	1768
612	2792	1762
613	2796	1757
614	2799	1752
615	2803	1747
616	2807	1742
617	2810	1737
618	2814	1732
619	2818	1727
620	2821	1722
621	2824	1716
622	2828	1711
623	2831	1706
624	2835	1701
625	2838	1695
626	2841	1690
627	2845	1685
628	2849	1680
629	2852	1675
630	2856	1670
631	2859	1665
632	2863	1660
633	2867	1655
634	2870	1650
635	2874	1645
636	2878	1640
637	2881	1635
638	2885	1630
639	2889	1625
640	2892	1620
641	2896	1615
642	2900	1610
643	2903	1605
644	2907	1600
645	2911	1595
646	2915	1590
647	2918	1585
648	2922	1580
649	2926	1575
650	2929	1570
651	2933	1565
652	2937	1561
653	2941	1556
654	2944	1550
655	2948	1546
656	2951	1541
657	2955	1536
658	2959	1531
659	2962	1526
660	2966	1521
661	2969	1516
662	2973	1511
663	2976	1506
664	2980	1501
665	2984	1496
666	2987	1491
667	2991	1486
668	2994	1481
669	2998	1476
670	3001	1471
671	3005	1466
672	3009	1462
673	3013	1457
674	3017	1452
675	3020	1447
676	3024	1442
677	3028	1438
678	3031	1433
679	3035	1428
680	3039	1423
681	3043	1419
682	3047	1414
683	3051	1409
684	3055	1405
685	3059	1400
686	3064	1396
687	3068	1391
688	3072	1387
689	3077	1382
690	3080	1377
691	3084	1373
692	3088	1368
693	3092	1363
694	3096	1358
695	3100	1354
696	3103	1349
697	3107	1344
698	3110	1339
699	3114	1334
700	3117	1329
701	3121	1324
702	3124	1320
703	3128	1315
704	3131	1310
705	3134	1305
706	3138	1300
707	3141	1295
708	3145	1290
709	3148	1286
710	3152	1281
711	3155	1276
712	3158	1271
713	3162	1266
714	3165	1261
715	3169	1257
716	3172	1252
717	3176	1247
718	3180	1242
719	3184	1238
720	3188	1233
721	3192	1229
722	3196	1224
723	3199	1219
724	3203	1215
725	3207	1210
726	3211	1205
727	3215	1201
728	3219	1196
729	3223	1192
730	3227	1187
731	3230	1182
732	3234	1178
733	3238	1173
734	3242	1169
735	3246	1164
736	3250	1160
737	3254	1155
738	3258	1150
739	3261	1146
740	3265	1141
741	3269	1136
742	3273	1132
743	3277	1127
744	3281	1123
745	3285	1118
746	3289	1114
747	3293	1109
748	3297	1105
749	3301	1100
750	3305	1095
751	3309	1091
752	3312	1086
753	3316	1081
754	3320	1077
755	3324	1072
756	3327	1068
757	3330	1063
758	3335	1058
759	3338	1054
760	3342	1049
761	3345	1045
762	3349	1040
763	3353	1035
764	3356	1031
765	3360	1026
766	3363	1021
767	3367	1017
768	3371	1012
769	3374	1008
770	3378	1003
771	3381	998
772	3385	994
773	3388	989
774	3392	984
775	3396	980
776	3400	975
777	3403	971
778	3407	966
779	3410	962
780	3414	957
781	3417	952
782	3421	948
783	3424	943
784	3428	938
785	3432	934
786	3435	929
787	3439	925
788	3443	920
789	3446	916
790	3450	911
791	3454	907
792	3457	902
793	3461	898
794	3465	893
795	3469	889
796	3472	884
797	3476	880
798	3480	875
799	3484	871
800	3488	866
801	3491	862
802	3495	857
803	3499	853
804	3502	848
805	3506	843
806	3510	839
807	3513	834
808	3517	830
809	3520	825
810	3524	821
811	3528	816
812	3532	812
813	3536	808
814	3540	803
815	3544	799
816	3549	794
817	3553	790
818	3557	786
819	3561	781
820	3566	777
821	3571	773
822	3575	768
823	3579	764
824	3583	760
825	3588	755
826	3592	751
827	3596	747
828	3600	742
829	3605	738
830	3612	734
831	3616	730
832	3621	726
833	3625	721
834	3630	717
835	3633	712
836	3637	708
837	3641	703
838	3645	699
839	3650	695
840	3653	690
841	3657	686
842	3662	682
843	3666	677
844	3670	673
845	3675	669
846	3680	664
847	3686	660
848	3692	656
849	3698	652
850	3703	648
851	3709	644
852	3715	640
853	3719	635
854	3725	631
855	3730	627
856	3735	623
857	3741	619
858	3749	615
859	3756	611
860	3765	607
861	3773	604
862	3780	600
863	3785	595
864	3790	591
865	3795	587
866	3799	582
867	3804	578
868	3808	574
869	3812	569
870	3816	565
871	3820	560
872	3824	556
873	3828	551
874	3831	547
875	3835	542
876	3839	538
877	3843	534
878	3847	529
879	3850	525
880	3854	520
881	3857	516
882	3861	511
883	3865	507
884	3869	502
885	3873	498
886	3877	493
887	3881	489
888	3884	485
889	3888	480
890	3891	476
891	3895	471
892	3898	467
893	3902	462
894	3905	458
895	3909	453
896	3913	449
897	3917	445
898	3922	440
899	3925	436
900	3929	431
901	3932	427
902	3936	422
903	3940	418
904	3944	414
905	3947	409
906	3951	405
907	3955	400
908	3958	396
909	3962	391
910	3965	387
911	3969	383
912	3973	378
913	3977	374
914	3980	369
915	3984	365
916	3987	360
917	3991	356
918	3995	352
919	3998	347
920	4002	343
921	4006	338
922	4010	334
923	4015	330
924	4019	325
925	4023	321
926	4026	317
927	4030	312
928	4034	308
929	4038	304
930	4043	299
931	4047	295
932	4052	291
933	4056	286
934	4060	282
935	4065	277
936	4069	273
937	4073	269
938	4077	264
939	4081	260
940	4085	256
941	4088	251
942	4092	247
943	4096	243
944	4099	238
945	4103	234
946	4107	229
947	4111	225
948	4115	221
949	4118	216
950	4122	212
951	4125	208
952	4129	203
953	4133	199
954	4136	194
955	4140	190
956	4144	186
957	4148	181
958	4152	177
959	4155	173
960	4159	168
961	4163	164
962	4166	160
963	4169	155
964	4173	151
965	4176	147
966	4180	142
967	4184	138
968	4188	133
969	4191	129
970	4196	125
971	4200	120
972	4204	116
973	4208	112
974	4212	108
975	4215	103
976	4219	99
977	4223	95
978	4227	90
979	4231	86
980	4235	82
981	4239	77
982	4243	73
983	4247	69
984	4251	64
985	4255	60
986	4258	56
987	4262	51
988	4266	47
989	4269	43
990	4273	38
991	4277	34
992	4280	30
993	4284	25
994	4288	21
995	4292	17
996	4296	12
997	4300	8
998	4304	4
999	4308	0
