,room_type_id,bed_str,expanded_bed,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_str,bedroom_count,confirmation-instant_str,confirmation-instant
30,31,2 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 2}]",1,0,0,0,0,0,0,0,0,0,1,35.0,1,1,Hướng Công viên,cong vien,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
31,32,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,26.0,1,1,Hướng Thành phố,thanh pho,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Hành lang ngoài,hanh lang ngoai
32,33,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,26.0,1,1,Hướng Thành phố,thanh pho,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,,
33,34,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,38.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ có thể mở ra,cua so co the mo ra
34,35,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,38.0,0,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Hành lang ngoài,hanh lang ngoai
35,36,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,38.0,1,1,Hướng Thành phố,thanh pho,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Hành lang ngoài,hanh lang ngoai
36,37,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,50.0,1,1,Hướng Thành phố,thanh pho,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,,
37,39,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
38,40,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,50.0,1,1,Hướng Thành phố,thanh pho,True,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,,
39,42,2 giường đôi,"[{'bed_type': 'giường đôi', 'bed_count': 2}]",0,0,0,0,1,0,0,0,0,0,1,30.0,0,1,Hướng Không có cửa sổ,khong co cua so,,True,,,,,,,,,True,,True,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
40,43,2 giường đôi,"[{'bed_type': 'giường đôi', 'bed_count': 2}]",0,0,0,0,1,0,0,0,0,0,1,33.0,1,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
41,44,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,33.0,0,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,,,True,,,,,,,True,,,,,,,,,0,Cửa sổ,cua so
42,45,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,43.0,1,1,Hướng Thành phố,thanh pho,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
43,46,1 giường đôi hoặc 2 giường đơn,"[{'bed_type': 'giường đôi', 'bed_count': 1}, {'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,1,0,0,0,0,0,2,30.0,1,1,,,,True,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
