hotel_id,room_room_type_name,room_type_id
78120100,Phòng Hướng Vườn Giường Đơn (Single Room with Garden View),337
9846724,Căn hộ (Apartment),338
45094383,Căn hộ (Apartment),339
78120912,Phòng Giường Đôi Có Phòng Tắm Riêng (Double Room with Private Bathroom),340
55769765,Căn hộ (Apartment),341
47373560,Căn hộ (Apartment),342
64045412,Phòng Đôi Cao Cấp (Superior Double Room),343
64045412,Phòng Đôi Cao Cấp (Superior Double Room),344
64045412,Phòng Đôi Loại Sang (Deluxe Double Room),345
64045412,Phòng Executive 2 giường đơn (Executive Twin Room),346
64045412,Phòng Suite Giường Đôi (Suite Double Room),347
63143382,Căn hộ (Apartment),348
64246545,Căn hộ (Apartment),349
66727643,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),350
63143718,Căn hộ (Apartment),351
78671366,Phòng Đôi (Double Room),352
78671366,Phòng Ba Người (Triple Room),353
34732752,Căn hộ (Apartment),354
63143738,Căn hộ (Apartment),355
39581491,Căn hộ (Apartment),356
74586303,Căn hộ (Apartment),357
36122072,Căn hộ (Apartment),358
80531404,Phòng Tiêu Chuẩn (Standard),359
80531404,Phòng Tiêu Chuẩn (Standard),360
80531404,Phòng VIP 2 (VIP Room 2),361
80531404,Phòng Loại Sang (Deluxe Room),362
80531404,Phòng Gia Đình Tiêu Chuẩn (Standard Family Room),363
80531404,Phòng Gia đình Nhìn ra Vườn (Family Room with Garden View),364
80531404,Phòng Gia Đình Cao Cấp (Family Premium Room),365
80531404,Phòng Deluxe Gia đình (Deluxe Family Room),366
35745040,Căn hộ (Apartment),367
79830931,Phòng Đôi (Double Room),368
79830931,Phòng 4 người (Quadruple Room),369
79830931,Phòng Đôi Loại Sang có Bồn Tắm (Deluxe Double Room with Bathtub),370
79383320,Phòng Đôi (Double Room),371
79383320,Phòng Deluxe Gia đình (Deluxe Family Room),372
79383320,Phòng Giường Đôi Nhìn Ra Vườn (Double Room with Garden View),373
60842508,Nhà riêng (home ),374
21952476,Phòng Cao Cấp Cho Hai Người (Superior Double Room),375
21952476,Phòng Superior 4 người (Superior Quadruple Room),376
59561670,Căn hộ (Apartment),377
64038795,Phòng Bình dân có Giường cỡ Queen (Budget Queen Room),378
64038795,Phòng Bình dân có Giường cỡ Queen (Budget Queen Room),379
28723451,Villa riêng (Private Villa),380
28723451,Biệt Thự (Villa),381
78040243,Nhà riêng (home ),382
78040243,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),383
69127449,Phòng Đôi (Double Room),384
17012626,Căn hộ (Apartment),385
51664475,Căn hộ (Apartment),386
39830475,Căn hộ (Apartment),387
79940602,Phòng Giường Đôi Nhỏ (Small Double Room),388
79940602,Phòng Đôi (Double Room),389
79940602,Phòng Đôi (Double Room),390
79940602,Phòng Deluxe Giường Đôi Có Bồn Tắm (Deluxe Double Room with Bath),391
79940602,Phòng Giường Đôi Lớn (Large Double Room),392
79940602,Phòng Giường Đôi Nhìn Ra Vườn (Double Room with Garden View),393
68549055,Căn hộ (Apartment),394
34732346,Căn hộ (Apartment),395
35228829,Căn hộ (Apartment),396
55410691,"LUXURY APARTMENT,1 BEDROOM",397
63185997,Căn hộ (Apartment),398
63326539,Căn hộ (Apartment),399
23139683,Nhà riêng (home ),400
44335172,Nhà riêng (home ),401
63143430,Căn hộ (Apartment),402
27847541,Phòng Đôi (Double),403
27847541,HAI GIƯỜNG ĐƠN (Twin),404
68419347,Căn hộ (Apartment),405
77622427,HAI GIƯỜNG ĐƠN (Twin),406
77622427,Phòng Đôi (Double Room),407
77622427,Studio,408
77622427,Studio Superior (Superior Studio),409
77622427,Căn hộ Studio (Studio Apartment),410
54619094,Phòng Đôi (Double Room),411
54619094,"Phòng Deluxe, 1 giường đôi, Quang cảnh thành phố (Deluxe Room, 1 Double Bed, City View)",412
54619094,Phòng Đôi Cao Cấp (Superior Double Room),413
54619094,"Phòng dành cho gia đình, 2 giường đôi, Quang cảnh thành phố (Family Room, 2 Double Beds, City View)",414
54619094,"Phòng dành cho gia đình, 2 giường đôi (Family Room, 2 Double Beds)",415
78757156,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),416
36927340,Căn hộ (Apartment),417
28853368,Phòng Cao Cấp Cho Hai Người (Superior Double Room),418
28853368,Phòng Đôi Tiêu Chuẩn (Standard Double Room),419
28853368,Phòng Superior gia đình (Superior Family Room),420
28853368,Phòng Tiêu chuẩn gia đình (Standard Familly Room),421
55323509,Nhà riêng (home),422
67378274,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),423
67378274,Phòng Đôi Cao Cấp (Superior Double Room),424
67378274,Phòng Đôi Loại Sang (Deluxe Double Room),425
67378274,Phòng Đôi Phổ Thông (Economy Double Room),426
67378274,Phòng Economy 2 giường đơn (Economy Twin Room),427
67378274,Suite Deluxe Có Giường Cỡ King (Deluxe King Suite),428
31728060,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),429
60156281,Căn hộ (Apartment),430
34164435,Căn hộ (Apartment),431
61349581,Nhà riêng (home),432
68166059,Phòng Cơ Bản Giường Đôi (Basic Double Room),433
48728667,Phòng Tiêu Chuẩn (Standard Room),434
48728667,Tiêu chuẩn - 1 giường đôi (Standard - 1 Double Bed),435
32608064,Phòng Tiêu Chuẩn (Standard),436
32608064,Giường đôi - 2 người (Double - 2pax),437
32608064,Phòng Đôi Loại Sang (Deluxe Double Room),438
79972415,Phòng Đôi (Double Room),439
79972415,Phòng Giường Đôi Có Ban Công (2 Người Lớn + 1 Trẻ Em) (Double Room with Balcony (2 Adults + 1 Child)),440
64896649,Phòng Tiêu Chuẩn (Standard Room),441
51515389,Phòng Đôi (Double Room),442
23166496,Căn hộ (Apartment),443
59439521,Phòng Đôi (Double Room),444
59439521,Phòng 4 Người (Quadruple Room),445
37038854,Căn Hộ 2 Phòng Ngủ (Two-Bedroom Apartment),446
34165157,Căn hộ (Apartment),447
46886295,Căn hộ (Apartment),448
6748373,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),449
6748373,Phòng Đôi Cao Cấp (Superior Double Room),450
73348841,Phòng Đôi (Double Room),451
73348841,Lều (Tent),452
46991867,Căn hộ (Apartment),453
59871386,Phòng Đôi (Double Room),454
34309695,Căn Hộ 1 Phòng Ngủ Hướng Biển (1-Bedroom Sea View Apartment),455
34309695,Studio hướng biển có ban công (Sea View Studio with Balcony),456
34309695,Căn hộ 3 Phòng ngủ Nhìn ra Đại dương (Three-Bedroom Ocean View Apartment),457
34309695,Căn hộ 2 phòng ngủ (2-Bedroom Apartment),458
28201768,Căn Hộ Studio Hướng Biển (Studio Apartment Sea View),459
28201768,Studio 2 Giường đơn Nhìn ra Bãi biển (Studio Ocean View Twin),460
28201768,Căn Hộ Hướng Biển 2 Phòng Ngủ (2-Bedroom Ocean View Apartment),461
28201768,Căn hộ 3 Phòng ngủ Nhìn ra Đại dương (Three-Bedroom Ocean View Apartment),462
67703642,Deluxe hướng thành phố (Deluxe City View),463
67703642,Deluxe Nhìn Ra Góc Biển (Deluxe Partial Ocean View),464
