"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường đôi lớn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn và 1 giường đôi";"15 m²";"16 m²";"17 m²";"2 giường lớn";"2 giường đôi";"2 giường đơn";"20 m²";"23 m²";"25 m²";"30 m²";"32 m²";"35 m²";"80 m²";"Ban công/sân hiên";"Bồn tắm/vòi sen riêng";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ mở";"Giường cực dài";"Hướng Ngoài trời";"Hướng Núi";"Hướng Thành phố";"Hướng Vườn";"Internet mạng LAN trong phòng [miễn phí]";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Phòng tắm đứng";"Quạt";"Rèm che ánh sáng";"Rượu";"Truy cập Internet - không dây";"Trà miễn phí";"Tối đa 1 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 3 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn, 1 bé (0-17 tuổi) ở MIỄN PHÍ!";"Tối đa 4 người lớn";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"bồn tắm lộ thiên";"phòng tắm riêng";"tầng cao";"Điều hòa";"Đồ dùng cho giấc ngủ thoải mái";"Đồ gỗ ngoài trời";"Ấm nước";"Ấm nước điện"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Deluxe Twin City View, Guest room, 2 Twin, City view (Deluxe Twin City View, Guest Room, 2 Twin, City View)";"3 người lớn";"2.080.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Phòng Deluxe, 1 Giường Cỡ King, Nhìn Ra Thành Phố (Deluxe King City View, Guest room, 1 King, City view)";"2 người lớn";"980.000";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Phòng Deluxe, 1 Giường Cỡ King, Nhìn Ra Thành Phố (Deluxe King City View, Guest room, 1 King, City view)";"2 người lớn";"980.000";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Phòng Deluxe, 1 Giường Cỡ King, Nhìn Ra Thành Phố (Deluxe King City View, Guest room, 1 King, City view)";"2 người lớn";"1.280.000";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Phòng Deluxe, 1 Giường Cỡ King, Nhìn Ra Thành Phố (Deluxe King City View, Guest room, 1 King, City view)";"3 người lớn";"1.780.000";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"5663879";"Four Points by Sheraton Lạng Sơn (Four Points by Sheraton Lang Son)";"2 Trần Hưng Đạo, Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Phòng Deluxe, 1 Giường Cỡ King, Nhìn Ra Thành Phố (Deluxe King City View, Guest room, 1 King, City view)";"3 người lớn";"2.080.000";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1"
"63692630";"Khách sạn Imperial Lạng Sơn (IMPERIAL HOTEL LẠNG SƠN)";"69 Ly Thuong Kiet, Vinh Trai ward, Lang Son city, Lang Son Province Province, Lạng Sơn, Lạng Sơn, Việt Nam, 2500";"Phòng Cao Cấp Giường Đôi - Không Có Cảnh (Superior Double - No View)";"2 người lớn";"707.507";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0"
"63692630";"Khách sạn Imperial Lạng Sơn (IMPERIAL HOTEL LẠNG SƠN)";"69 Ly Thuong Kiet, Vinh Trai ward, Lang Son city, Lang Son Province Province, Lạng Sơn, Lạng Sơn, Việt Nam, 2500";"Superior 2 giường (Superior Twin)";"2 người lớn";"707.507";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"35076446";"Nhà Nghỉ Xuân Mai (Nha Nghi Xuan Mai)";"Lạng sơn Tổ 4 khối 10 thị trấn cao lộc, TP Lạng Sơn, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Đôi Loại Sang (Deluxe Double Room)";"2 người lớn";"259.259";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1"
"35076446";"Nhà Nghỉ Xuân Mai (Nha Nghi Xuan Mai)";"Lạng sơn Tổ 4 khối 10 thị trấn cao lộc, TP Lạng Sơn, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe (2 Người lớn + 1 Trẻ em) (Deluxe Room (2 Adults + 1 Child))";"2 người lớn";"259.259";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1"
"35076446";"Nhà Nghỉ Xuân Mai (Nha Nghi Xuan Mai)";"Lạng sơn Tổ 4 khối 10 thị trấn cao lộc, TP Lạng Sơn, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Deluxe (2 Người lớn + 1 Trẻ em) (Deluxe Room (2 Adults + 1 Child))";"1 người lớn Vượt quá sức chứa phòng";"233.333";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1"
"35076446";"Nhà Nghỉ Xuân Mai (Nha Nghi Xuan Mai)";"Lạng sơn Tổ 4 khối 10 thị trấn cao lộc, TP Lạng Sơn, Lạng Sơn, Lạng Sơn, Việt Nam";"Phòng Có 2 Giường Cỡ Queen (Queen Room with Two Queen Beds)";"3 người lớn & 1 trẻ em (0-17 tuổi)";"375.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1"
"31047489";"Tru by Hilton Trung tâm thành phố Lạng Sơn (Tru by Hilton Lang Son City Centre)";"297 Phai Ve Mai Pha Commune , Lạng Sơn, Lạng Sơn, Việt Nam, 240000";"Phòng 1 Giường Lớn (1 King Bed Room)";"2 người lớn";"872.565";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0"
